,BUILDINGID,WattHours,time
257,008b,51487.75,2021-11-07T20:27:01.416088Z
258,0090,1879.25,2021-11-07T20:27:01.416088Z
259,0091,2672.0,2021-11-07T20:27:01.416088Z
260,0092,3428.0,2021-11-07T20:27:01.416088Z
261,0093,4739.25,2021-11-07T20:27:01.416088Z
262,0094,3445.75,2021-11-07T20:27:01.416088Z
263,0095,3820.0,2021-11-07T20:27:01.416088Z
264,0096,1268.25,2021-11-07T20:27:01.416088Z
265,0097,4593.0,2021-11-07T20:27:01.416088Z
266,0098,3.0405,2021-11-07T20:27:01.416088Z
267,0099,3174.25,2021-11-07T20:27:01.416088Z
268,009a,74166.25,2021-11-07T20:27:01.416088Z
269,0100,2032.25,2021-11-07T20:27:01.416088Z
270,0101,2478.75,2021-11-07T20:27:01.416088Z
271,0102,1968.25,2021-11-07T20:27:01.416088Z
272,0104,3147.25,2021-11-07T20:27:01.416088Z
273,0105,2936.25,2021-11-07T20:27:01.416088Z
274,0106,3662.25,2021-11-07T20:27:01.416088Z
275,0107,3593.75,2021-11-07T20:27:01.416088Z
276,0111,114309.75,2021-11-07T20:27:01.416088Z
277,0113,22407.75,2021-11-07T20:27:01.416088Z
278,0114,10496.25,2021-11-07T20:27:01.416088Z
279,0115,4049.75,2021-11-07T20:27:01.416088Z
280,0117,26453.0,2021-11-07T20:27:01.416088Z
281,0118,22647.75,2021-11-07T20:27:01.416088Z
282,0121,13229.75,2021-11-07T20:27:01.416088Z
283,0123,2637.25,2021-11-07T20:27:01.416088Z
284,0124,41704.75,2021-11-07T20:27:01.416088Z
285,0128,10319.5,2021-11-07T20:27:01.416088Z
286,0130,824.75,2021-11-07T20:27:01.416088Z
287,0151,9.8335,2021-11-07T20:27:01.416088Z
288,016a,11137.25,2021-11-07T20:27:01.416088Z
289,0194,1511.0,2021-11-07T20:27:01.416088Z
290,0201,35224.75,2021-11-07T20:27:01.416088Z
291,0202,57413.25,2021-11-07T20:27:01.416088Z
292,026a,4296.168,2021-11-07T20:27:01.416088Z
293,109a,2673.5,2021-11-07T20:27:01.416088Z
294,109b,4490.25,2021-11-07T20:27:01.416088Z
295,109c,3839.75,2021-11-07T20:27:01.416088Z
296,109d,1619.0,2021-11-07T20:27:01.416088Z
297,0002,2817.75,2021-11-07T20:12:01.846957Z
298,0005,50260.75,2021-11-07T20:12:01.846957Z
299,0006,52194.75,2021-11-07T20:12:01.846957Z
300,0007,42431.75,2021-11-07T20:12:01.846957Z
301,0008,42617.5,2021-11-07T20:12:01.846957Z
302,0009,19295.75,2021-11-07T20:12:01.846957Z
303,0010,17143.15075,2021-11-07T20:12:01.846957Z
304,0012,8534.25,2021-11-07T20:12:01.846957Z
305,0013,5565.5,2021-11-07T20:12:01.846957Z
306,0014,1691.0,2021-11-07T20:12:01.846957Z
307,0015,174.4815,2021-11-07T20:12:01.846957Z
308,0016,24788.5,2021-11-07T20:12:01.846957Z
309,0017,9.93075,2021-11-07T20:12:01.846957Z
310,0018,659.25,2021-11-07T20:12:01.846957Z
311,0019,53611.5,2021-11-07T20:12:01.846957Z
312,0027,4481.5,2021-11-07T20:12:01.846957Z
313,0029,41593.25,2021-11-07T20:12:01.846957Z
314,0030,23103.5,2021-11-07T20:12:01.846957Z
315,0031,14268.0,2021-11-07T20:12:01.846957Z
316,0032,1322.75,2021-11-07T20:12:01.846957Z
317,0033,7329.25,2021-11-07T20:12:01.846957Z
318,0034,10606.75,2021-11-07T20:12:01.846957Z
319,0035,4535.25,2021-11-07T20:12:01.846957Z
320,0036,4225.0,2021-11-07T20:12:01.846957Z
321,0037,71776.75,2021-11-07T20:12:01.846957Z
322,0038,17872.5,2021-11-07T20:12:01.846957Z
323,0039,19061.6135,2021-11-07T20:12:01.846957Z
324,0040,2113.94675,2021-11-07T20:12:01.846957Z
325,0041,0.5235,2021-11-07T20:12:01.846957Z
326,0042,252.371,2021-11-07T20:12:01.846957Z
327,0047,9707.0,2021-11-07T20:12:01.846957Z
328,0048,4566.25,2021-11-07T20:12:01.846957Z
329,0049,42098.75,2021-11-07T20:12:01.846957Z
330,0051,20015.5,2021-11-07T20:12:01.846957Z
331,0058,14134.0,2021-11-07T20:12:01.846957Z
332,0063,58589.75,2021-11-07T20:12:01.846957Z
333,0064,6746.25,2021-11-07T20:12:01.846957Z
334,0065,14536.5,2021-11-07T20:12:01.846957Z
335,0066,7.044,2021-11-07T20:12:01.846957Z
336,0067,7742.25,2021-11-07T20:12:01.846957Z
337,0068,17285.98325,2021-11-07T20:12:01.846957Z
338,0069,156.8875,2021-11-07T20:12:01.846957Z
339,006a,2510.0,2021-11-07T20:12:01.846957Z
340,0071,2532.75,2021-11-07T20:12:01.846957Z
341,0072,1414.25,2021-11-07T20:12:01.846957Z
342,0073,1294.75,2021-11-07T20:12:01.846957Z
343,0074,1161.0,2021-11-07T20:12:01.846957Z
344,0075,1426.75,2021-11-07T20:12:01.846957Z
345,0076,1159.75,2021-11-07T20:12:01.846957Z
346,0077,547.5,2021-11-07T20:12:01.846957Z
347,0080,5369.5,2021-11-07T20:12:01.846957Z
348,0081,6252.5,2021-11-07T20:12:01.846957Z
349,0083,2956.0,2021-11-07T20:12:01.846957Z
350,0084,2010.25,2021-11-07T20:12:01.846957Z
351,0085,1865.5,2021-11-07T20:12:01.846957Z
352,0086,2207.0,2021-11-07T20:12:01.846957Z
353,0087,9636.75,2021-11-07T20:12:01.846957Z
354,0088,919.5,2021-11-07T20:12:01.846957Z
355,0089,1619.75,2021-11-07T20:12:01.846957Z
356,008b,51800.0,2021-11-07T20:12:01.846957Z
357,0090,1850.75,2021-11-07T20:12:01.846957Z
